Id;Year;Edition;Film;Won;Nominees;Record;Writer;Age (in years);Ref.
351;2011;84;Midnight in Paris;True;Woody Allen‡;;;;
417;;;Midnight in Paris;False;;Oldest winner;Woody Allen;76.0;[94]
273;1995;68;Mighty Aphrodite;False;Woody Allen;;;;
336;2008;81;Milk;True;Dustin Lance Black‡;;;;
399;2020;93;Minari;False;Lee Isaac Chung;;;;
199;1980;53;Mon oncle d'Amérique;False;Jean Gruault;;;;
38;1947;20;Monsieur Verdoux;False;;;;;
304;2001;74;Monster's Ball;False;Milo Addica & Will Rokos;;;;
359;2012;85;Moonrise Kingdom;False;Wes Anderson & Roman Coppola;;;;
231;1987;60;Moonstruck;True;John Patrick Shanley‡;;;;
74;1955;28;Mr. Hulot's Holiday;False;Henri Marquet & Jacques Tati;;;;
159;1972;45;Murmur of the Heart;False;Louis Malle;;;;
27;1945;18;Music for Millions;False;;;;;
228;1986;59;My Beautiful Laundrette;False;Hanif Kureishi;;;;
309;2002;75;My Big Fat Greek Wedding;False;Nia Vardalos;;;;
150;1970;43;My Night at Maud's;False;Éric Rohmer;;;;
40;1948;21;N/A [note 1][20];False;;;;;
365;2013;86;Nebraska;False;Bob Nelson;;;;
176;1976;49;Network;True;Paddy Chayefsky‡;;;;
100;1960;33;Never on Sunday;False;Jules Dassin;;;;
370;2014;87;Nightcrawler;False;Dan Gilroy;;;;
274;1995;68;Nixon;False;Stephen J. Rivele, Oliver Stone & Christopher Wilkinson;;;;
50;1950;23;No Way Out;False;Joseph L. Mankiewicz & Lesser Samuels;;;;
93;1959;32;North by Northwest;False;Ernest Lehman;;;;
33;1946;19;Notorious;False;;;;;
66;1954;27;On the Waterfront;True;Budd Schulberg‡;;;;
395;2019;92;Once Upon a Time in Hollywood;False;Quentin Tarantino;;;;
11;1942;15;One of Our Aircraft Is Missing;False;;;;;
118;1964;37;One Potato, Two Potato;False;Screenplay: Orville H. Hampton;;;;
94;1959;32;Operation Petticoat;False;Screenplay: Shapiro & Richlin;;;;
43;1949;22;Paisan;False;;;;;
329;2006;79;Pan's Labyrinth;False;Guillermo del Toro;;;;
391;2019;92;Parasite;True;Screenplay: Bong Joon-ho & Han Jin-won;;;;
259;1992;65;Passion Fish;False;John Sayles;;;;
44;1949;22;Passport to Pimlico;False;;;;;
416;2023;96;Past Lives;False;Celine Song;;;;
59;1952;25;Pat and Mike;False;Ruth Gordon & Garson Kanin;;;;
146;1970;43;Patton;True;Francis Ford Coppola & Edmund H. North‡;;;;
264;1993;66;Philadelphia;False;Ron Nyswaner;;;;
91;1959;32;Pillow Talk;True;Screenplay: Stanley Shapiro & Maurice Richlin;;;;
216;1984;57;Places in the Heart;True;Robert Benton‡;;;;
229;1986;59;Platoon;False;Oliver Stone;;;;
15;1943;16;Princess O'Rourke;True;;;;;
200;1980;53;Private Benjamin;False;Nancy Meyers, Harvey Miller & Charles Shyer;;;;
397;2020;93;Promising Young Woman;True;Emerald Fennell‡;;;;
266;1994;67;Pulp Fiction;True;Screenplay: Quentin Tarantino;;;;
235;1987;60;Radio Days;False;Woody Allen;;;;
236;1988;61;Rain Man;True;Screenplay: Ronald Bass & Barry Morrow;;;;
334;2007;80;Ratatouille;False;Screenplay: Brad Bird;;;;
205;1981;54;Reds;False;Trevor Griffiths & Warren Beatty;;;;
12;1942;15;Road to Morocco;False;;;;;
34;1946;19;Road to Utopia;False;;;;;
179;1976;49;Rocky;False;Sylvester Stallone;;;;
389;2018;91;Roma;False;Alfonso Cuarón;;;;
240;1988;61;Running on Empty;False;Naomi Foner Gyllenhaal;;;;
28;1945;18;Salty O'Rourke;False;;;;;
230;1986;59;Salvador;False;Richard Boyle & Stone;;;;
164;1973;46;Save the Tiger;False;Steve Shagan;;;;
289;1998;71;Saving Private Ryan;False;Robert Rodat;;;;
279;1996;69;Secrets & Lies;False;Mike Leigh;;;;
7;1941;14;Sergeant York;False;;;;;
180;1976;49;Seven Beauties;False;Lina Wertmüller;;;;
244;1989;62;Sex, Lies, and Videotape;False;Steven Soderbergh;;;;
286;1998;71;Shakespeare in Love;True;Marc Norman & Tom Stoppard‡;;;;
175;1975;48;Shampoo;False;Robert Towne & Warren Beatty;;;;
280;1996;69;Shine;False;Screenplay: Jan Sardi;;;;
39;1947;20;Shoeshine;False;;;;;
214;1983;56;Silkwood;False;Alice Arlen & Nora Ephron;;;;
265;1993;66;Sleepless in Seattle;False;Screenplay: Jeff Arch, Nora Ephron & David S. Ward;;;;
19;1943;16;So Proudly We Hail!;False;;;;;
400;2020;93;Sound of Metal;False;Screenplay: Abraham & Darius Marder;;;;
220;1984;57;Splash;False;Screenplay: Bruce Jay Friedman, Lowell Ganz & Babaloo Mandel;;;;
101;1961;34;Splendor in the Grass;True;William Inge‡;;;;
