Id;Year;Edition;Film;Nominees;Won
345;2020;93;Mulan;Sean Faden, Anders Langlands, Seth Maury, and Steve Ingram;False
120;1962;35;Mutiny on the Bounty;A. Arnold Gillespie (visual);
364;2023;96;Napoleon;Charley Henley, Luc-Ewen Martin-Fenouillet, Simone Coco and Neil Corbould;False
151;1973;46;No award given;No award given;False
350;2021;94;No Time to Die;Charlie Noble, Joel Green, Jonathan Fawkner, and Chris Corbould;False
3;1927;1;Nugent Slaughter (photographic) [note 2];Nugent Slaughter (photographic) [note 2];False
23;1940;13;One Million B.C.;Roy Seawright (photographic);
48;1942;15;One of Our Aircraft Is Missing;Ronald Neame (photographic);
9;1939;12;Only Angels Have Wings;Roy Davidson (photographic);
144;1970;43;Patton;Alex Weldon;False
248;2001;74;Pearl Harbor;Eric Brevig, John Frazier, Ed Hirsh, and Ben Snow;False
271;2007;80;Pirates of the Caribbean: At World's End;John Knoll, Hal Hickel, Charles Gibson, and John Frazier;False
266;2006;79;Pirates of the Caribbean: Dead Man's Chest;John Knoll, Hal Hickel, Charles Gibson, and Allen Hall;True
